N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0236.916.956,Bruxelles Environnement,1 - Services administratifs,Site technique de Laeken,"Rue des Horticulteurs 89, 1020 Bruxelles",84.49,503.76,E-
0227.581.301,S.L.R.B.,1 - Services administratifs,SLRB,"Rue Jourdan 45, 1060 Saint-Gilles",38.32,233.81,C
0406.798.006,SMALS,1 - Services administratifs,SMALS,"Avenue Fonsny 20, 1060 Saint-Gilles",46.35,287.17,C-
0406.798.006,SMALS,"13 - Ateliers, centres funéraires, dépôts, ...",SMALS,"Boulevard Industriel 25, 1070 Anderlecht",528.27,3336.14,G
0949.383.342,Commission européenne,1 - Services administratifs,SPA2,"Rue de Spa 2, 1000 Bruxelles",37.12,227.16,C+
0949.383.342,Commission européenne,1 - Services administratifs,SPA3,"Rue de Spa 3, 1000 Bruxelles",36.23,220.85,C+
0308.357.159,SPF Finances,1 - Services administratifs,"SPF Finances, Documentation Patrimoniale, Fin Shop Brussels","Rue du Biplan 126, 1130 Bruxelles",20.74,108.47,B+
0207.365.610,Administration communale d'Etterbeek,10 - Centres sportifs,Stade communal Etterbeek THYS,"Rue Baron Dhanis 6, 1040 Etterbeek",82.90,482.53,E+
0207.389.859,Commune de Woluwe-Saint-Lambert,10 - Centres sportifs,Stade communal - Grand hall de tennis,"Avenue Jean-François Debecker 54, 1200 Woluwe-Saint-Lambert",78.74,444.88,D-
0207.389.859,Commune de Woluwe-Saint-Lambert,11 - Théatres et centres culturels,Stade communal - La Rotonde,"Avenue Jean-François Debecker 54, 1200 Woluwe-Saint-Lambert",34.77,206.20,C-
0207.389.859,Commune de Woluwe-Saint-Lambert,10 - Centres sportifs,Stade communal - Petit hall de tennis 10,"Avenue Jean-François Debecker 54, 1200 Woluwe-Saint-Lambert",53.86,301.08,C-
0207.389.859,Commune de Woluwe-Saint-Lambert,10 - Centres sportifs,Stade communal - Petit hall de tennis 9,"Avenue Jean-François Debecker 54, 1200 Woluwe-Saint-Lambert",51.97,291.24,C
"0432.950.590,0415.332.917,0461.464.731","Collectif Formation Société asbl,Service de Santé Mentale sectorisé de St-Gilles,Starting-Block asbl",4 - Enseignement du jour ET du soir,Starting Block,"Rue de la Victoire 26, 1060 Saint-Gilles",34.37,199.74,D+
0414.474.367,Institut St-Boniface-Parnasse - A.S.B.L.,3 - Enseignement du jour OU du soir,St-Boniface-Parnasse / Sans Souci,"Rue Sans Souci 42, 1050 Ixelles",19.66,115.04,C+
0409.939.222,Institut Saint-Joseph d'Enseignement Technique,4 - Enseignement du jour ET du soir,St-Joseph Enseignement Technique (Atelier Marollien) ,"Rue des Alliés 315, 1190 Forest",11.36,66.73,B+
0409.939.222,Institut Saint-Joseph d'Enseignement Technique,3 - Enseignement du jour OU du soir,St-Joseph Enseignement Technique (Felix HAP),"Rue Félix Hap 14, 1040 Etterbeek",23.25,111.38,C+
0409.939.222,Institut Saint-Joseph d'Enseignement Technique,4 - Enseignement du jour ET du soir,St-Joseph Enseignement Technique (St-Pierre),"Chaussée Saint-Pierre 201, 1040 Etterbeek",21.50,122.77,C+
0409.939.222,Institut Saint-Joseph d'Enseignement Technique,4 - Enseignement du jour ET du soir,St-Joseph Enseignement Technique (Van Meyel),"Place Van Meyel 18, 1040 Etterbeek",17.45,102.17,B-
0422.143.307,La Fraternité ,3 - Enseignement du jour OU du soir,St Vincent,"Chaussée d'Anvers 28, 1000 Bruxelles",20.95,121.76,C+
"0851.014.256,0858.344.981","Comité européen des régions,Comité économique et social européen",1 - Services administratifs,T74,"Rue de Trèves 74, 1040 Bruxelles",61.94,390.05,D-
0407.626.464,Université Libre de Bruxelles,5 - Enseignement supérieur,ULB - Campus de la Plaine,"Boulevard du Triomphe -, 1050 Ixelles",67.17,398.55,F
0941.792.893,Hôpital Erasme,6 - Hôpitaux,ULB - Campus Erasme - Bâtiment M,"Route de Lennik 808, 1070 Anderlecht",84.60,490.19,D-
